title,channel_title,desc,date,tags,liked,disliked,views
Nastya and kids jokes with her friends,Like Nastya,"Nastya and friends come up with jokes on each other.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2021-01-22T07:00:01Z,"['kids jokes', 'jokes for kids', 'kids playing', 'play toys', 'pretend play', 'toys', 'nastya and friends', 'nastya', 'like nastya']",26215,8541,3298245
Nastya and her friends are playing a mysterious challenge,Like Nastya,"Dad arranged a funny mysterious challenge for Nastya and her friends.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2021-01-20T07:00:17Z,"['challenge for kids', 'kids playing', 'playtime', 'misterios challenge', 'play toys', 'toys for kids', 'play date', 'funny kids', 'nastya and friends', 'nastya', 'like nastya', 'настя']",37347,11450,4680951
Nastya and Dad - short videos for kids,Like Nastya,"Nastya and Dad in short funny stories for kids.
#shorts 
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2021-01-17T06:00:04Z,"['short film', 'short stories for kids', 'shorts', 'stories for kids', 'shorts for kids', 'kids videos', 'nastya', 'nastya and dad', 'like nastya', 'настя']",19791,7427,4902545
Nastya and new friendly family stories for children and their parents,Like Nastya,"A collection of fun watermelon stories, masks and fun adventures with dad for the whole family.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2021-01-14T07:00:06Z,"['stories for kids', 'family stories', 'compilation for kids', 'family friendly', 'kids videos', 'pretend play', 'toys', 'playing', 'nastya and dad', 'like nastya', 'nastya', 'настя']",37057,13689,5397669
Nastya Pretends to Play with dad in the Hotel,Like Nastya,"Nastya pretends to play in the hotel and dad comes to her to play
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2021-01-11T06:00:13Z,"['play hotel', 'family friendly', 'play toys', 'hotel', 'kids play', 'pretend play', 'toy', 'kids video', 'nastya and dad', 'like nastya', 'nastya', 'настя']",157632,56702,26970077
Nastya and her Family trip to the pig island,Like Nastya,"Nastya and dad are going on a new journey to the islands where pigs live.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2021-01-07T06:00:00Z,"['family trip', 'pig island', 'travel', 'journey', 'family friendly', 'pigs', 'nastya and dad', 'fun', 'entertainment for kids', 'nastya', 'like nastya', 'настя']",37051,10600,4956880
Nastya and her Friends Princesses,Like Nastya,"Nastya invites her Princess friends to visit her to play with them in the beauty salon.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2021-01-05T06:00:15Z,"['princesses', 'pretend play', 'playing', 'friends', 'kids playing', 'princess toys', 'toys', 'nastya and friends', 'nastya', 'like nastya', 'настя']",190098,75388,34492796
Nastya and dad are learning the Alphabet and Numbers | Educational Videos for Toddlers,Like Nastya,"Nastya and dad learn the Alphabet and Numbers. Educational Videos for Toddlers
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2021-01-02T06:00:05Z,"['learn the alphabet', 'numbers', 'numbers 1 to 10', 'learn numbers', 'educational videos for toddlers', 'surprise boxes', 'alphabet', 'learn numbers for toddlers', 'educational', 'abc', 'learn and play', 'nastya and dad', 'nastya', 'like nastya', 'настя']",230449,96234,36625406
Nastya and Dad in a New Year's story about a family trip,Like Nastya,"Nastya and dad go on a winter trip. They get into the New Year's story with adventures and miracles.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-12-31T06:00:07Z,"['family trip', ""New Year's story"", 'happy new year', 'story for kids', 'family friendly', 'play', 'play with snow', 'winter trip', 'nastya and dad', 'nastya', 'like nastya', 'настя']",68395,19368,10778576
Nastya and dad changed places,Like Nastya,"Nastya and dad have changed places, now Nastya is doing dad's work and dad is behaving like Nastya.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-12-29T07:00:08Z,"['changed places', 'kids behavior', 'family video', 'behavior for kids', 'pretend play', 'family friendly', 'play', 'nastya and dad', 'funny dad', 'nastya', 'like nastya', 'настя']",132364,52402,26865839
Nastya copies dad all day,Like Nastya,"Nastya is pretending and trying to copy everything that dad does. This is a lot of fun for the whole family.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-12-25T07:00:06Z,"['copying dad challenge', 'family friendly', 'copying challenge', 'family activities', 'pretend play', 'family fun', 'funny dad', 'nastya and dad', 'family video', 'nastya', 'like nastya', 'настя']",236383,85481,45077326
