,title,channel_title,desc,date,tags,liked,disliked,views,comment
0,Deema in Police Story Adventure,sisters fun tube 2,Deema plays in a Police Story about looking for birds. sally has a giant egg she wants to play egg hunt with friends.,2020-03-30T15:00:18Z,"['police', 'police story', 'treasure', 'funny video', 'story', 'kids video', 'kids', 'Deema police', 'adventure', 'Deema', 'Deema play']",2649,817,2204643,
1,Emma Pretend Play Babysitting Cry Baby Dolls w/ Nursery Playset Girl Toys,Toys and Colors,"Emma pretend play babysitting her cry baby dolls with nursery playset girl toys. She tries to put her baby doll to sleep, but it doesn’t want to sleep. She sings the Brother John nursery rhyme lullaby, but the baby still doesn’t fall asleep. She uses the baby toy and the baby finally falls asleep. Suddenly, another baby wakes up and needs to be fed some milk. She puts the baby on the baby seat and feeds the baby doll. Uncle K comes and reminds her to finish her homework. While Emma finishes her homework the baby plays with some baby toys to keep busy. Uncle K takes Emma to the toy store to buy some food toys. She makes some baby food to eat and then puts it to sleep after the meal!",2018-08-16T12:00:02Z,"['emma', 'pretend play', 'emma pretend play', 'baby doll', 'baby', 'doll', 'nursery', 'nursery rhyme', 'lullaby', 'brother john', 'girl toys', 'toy', 'toys', 'baby toys', 'pretend food', 'nursery toy', 'feeding baby dolls', 'baby food', 'kid put babies to sleep', 'kids toys', 'playset', 'girl', 'cry baby', 'babysit', 'pretend babysitting']",322872,154676,151528000,
2,TÔ MÀU TRANH CÁT CÔNG CHÚA TRÁI TIM - Colored sand painting princess heart (Chim Xinh),Chim Xinh Channel,"Chị Chim Xinh chơi TÔ MÀU TRANH CÁT CÔNG CHÚA TRÁI TIM, công chúa dễ thương được tô màu tóc nâu, váy hồng... những hũ cát màu được tô trong video siêu mịn và có kim tuyến lấp lánh rất đẹp.
Colored sand painting princess heart (Chim Xinh)",2019-10-19T11:05:00Z,"['tranh cát công chúa', 'tranh cát', 'tô màu tranh cát', 'tô màu', 'tô màu công chúa', 'búp bê', 'chim xinh', 'chim xinh tô màu', 'chim xinh tô tranh cát', 'colored sand painting', 'sand painting', 'coloring', 'sand art', 'glitter']",,,6164108,0
3,Jannie Pretend Play Dress Up with Beautiful Dresses,Toys and Colors,"Jannie pretend play dress up with beautiful dresses before she goes to the princess party. She needs to find the perfect dress to impress her friends. She goes to Auntie Rose to sew her a new dress to wear. 

Subscribe for notifications to new videos: https://www.youtube.com/channel/UCgFXm4TI8htWmCyJ6cVPG_A?sub_confirmation=1

Check out our latest videos playlist: https://www.youtube.com/watch?v=fsHnS3mZglg&list=PL5gq3QGk5j3hRwpMNKQ9L5NyUt3FiTmSy",2019-06-12T12:00:11Z,"['pretend play', 'jannie', 'toys and colors', 'dress up', 'beautiful princess', 'kids', 'kids video', 'video for kids', 'for kids', 'toys', 'toy', 'children', 'play', 'for children', 'playing', 'sewing machine toy']",147734,73239,50032005,
4,Jobs Career & Professions Song | Wendy & Friends Pretend Play Nursery Rhymes Kids Songs,Toys and Colors,"Wendy, Alex, and Liam pretend play sing to the Jobs Career and Professions song! This fun nursery rhymes for children will help kids decide what they want to be when they grow up. 

Subscribe for notifications to new videos: https://www.youtube.com/channel/UCgFXm4TI8htWmCyJ6cVPG_A?sub_confirmation=1

Check out our latest videos playlist: https://www.youtube.com/watch?v=fsHnS3mZglg&list=PL5gq3QGk5j3hRwpMNKQ9L5NyUt3FiTmSy",2019-06-10T12:00:02Z,"['toys and colors', 'nursery rhymes', 'children songs', 'baby songs', 'kid songs', 'kindergarten songs', 'education', 'kids songs', 'toddler songs', 'children learning', 'profession song', 'sing-along', 'jobs song', 'career song', 'best nursery rhymes', 'nursery', 'rhyme', 'video for babies', 'songs for babies', 'babies songs', 'wendy', 'pretend play']",668563,339549,216589771,
5,Emma & Jannie Pretend Play as Many Professions and Help People,Toys and Colors,"Emma, Jannie, and Liam pretend play as different professions such as a fireman, police officer, and doctor! They figure out that every job is important and that each person has a valuable skill. What do you want to be when you grow up?

Subscribe for notifications to new videos: https://www.youtube.com/channel/UCgFXm4TI8htWmCyJ6cVPG_A?sub_confirmation=1

Check out our latest videos playlist: https://www.youtube.com/watch?v=fsHnS3mZglg&list=PL5gq3QGk5j3hRwpMNKQ9L5NyUt3FiTmSy",2019-11-17T13:00:02Z,"['kid professions', 'professions', 'career', 'children', 'playing', 'pretend play', 'toys and colors', 'police', 'fireman', 'doctor', 'kids profession', 'kids video', 'profession', 'kids story', 'kids playing', 'toys for kids']",116587,53804,51403860,
6,Alice Pretend Princess & playing in Restaurant with Kitchen Toys,Kids smile TV,"Alice Smile Pretend Play as a Chef in Restaurant and Cooks Food with Kitchen Toys. Princesses Frozen Elsa And Anna a visitors in café. Alice Smile Cooking Food for Princesses and tries very hard to make her cafe better!
Watch our video compilation.

And subscribe to my channel Kids smile TV: https://goo.gl/BgCv5S

My instagram - https://www.instagram.com/alice_kidssmiletv/

 Other video with princesses in real life : https://www.youtube.com/playlist?list=PLhj7XHxp93YLmI0O2_oh2bcYQsoWMVfuG 

Other video with princess:
https://www.youtube.com/playlist?list=PLhj7XHxp93YIzYSCQHW76b8epNfCYVKwd

Production Music courtesy of Epidemic Sound! 

#pretendplay
#Princesses
#KitchenToys
#foodtoy
#CookingFood
#videoforkids
#Alicesmile
#kidssmiletv",2018-12-05T12:00:36Z,"['princess', 'pretend play', 'cooking food', 'kitchen toys', 'food toys', 'cooking toys', 'playing in restaurant', 'Elsa And Anna', 'kids play', 'Alice Smile', 'kids smile tv', 'video for kids', 'Alice', 'Johny Smile']",1992053,927031,571310895,
7,Alice Pretend Princess & preparing celebrating Happy Birthday for Frozen Elsa,Kids smile TV,"Alice Pretend Play Princesses Frozen Elsa And Anna. Anna is preparing celebrating Birthday for Frozen Elsa and makes a gift with their own hands. Funny Stories about Happy Birthday.

Watch our video for kids by Kids smile TV and subscribe!

My instagram - https://www.instagram.com/alice_kidssmiletv/

Subscribe to my channel: https://goo.gl/BgCv5S

Other video with princesses In Real Life: https://www.youtube.com/playlist?list=PLhj7XHxp93YLmI0O2_oh2bcYQsoWMVfuG

New Video for kids by Kids smile TV:
https://www.youtube.com/playlist?list=PLhj7XHxp93YJwvaFHrd2wRBu2rvMNapC3

Production Music courtesy of Epidemic Sound! 

#videoforkids
#Princess
#FrozenElsaAndAnna
#pretendplay
#happybirthday
#kidssmiletv
#Alice",2018-09-03T12:52:36Z,"['Alice', 'pretend princess', 'frozen elsa and anna', 'Elsa and Anna', 'princess', 'pretend play', 'princess dress', 'birthday', 'kids toys', 'video for kids', 'kids smile tv']",90335,32750,44636018,
8,Макс и папа мешают Кате играть с куклой,Mister Max,,2020-06-29T04:00:05Z,"['Макс и Катя', 'Max and Katy', 'toys', 'balloon inflatable', 'max and dad']",50230,23752,16058475,
9,Emma Pretend Play w/ Cute Wooden Colorful Flower Shop Girl Kids Toys Playset,Toys and Colors,"Emma pretend play with her wooden flower shop girl toy for kids. Emma is selling a lot of cute and colorful flower toys. Uncle Tim arrives and competes with Emma and Uncle K by selling cheap flowers. Emma has a great idea and goes to Uncle John’s costume shop to buy a flower costume. Uncle John’s costume was too expensive, but they sold him flowers in exchange for the costume. Uncle John makes Emma a giant sunflower in a pot costume. They go back with the costume and sells a lot of flower toys to Auntie. Emma buys all of Uncle Tim’s flowers and decorates Auntie’s unicorn ride.",2018-08-28T12:00:08Z,"['emma', 'pretend play', 'emma pretend play', 'wooden toys', 'wooden flower shop', 'flower toy', 'girl toys', 'kids toys', 'flower costume', 'kid costume', 'flowers', 'toy', 'toys', 'toys and colors', 'kids play', 'toys play', 'toys for kids', 'shop', 'playset', 'flower playset', 'colorful flowers']",56273,25761,34524230,
